schoolID,regionID,studentID,transferDate
260,4,217,2021-03-07
248,3,101965,2023-01-23
1,1,98001,2023-01-03
278,4,97122,2022-01-13
11,2,64058,2021-02-10
43,1,46464,2019-01-18
209,1,39630,2022-12-21
285,2,73004,2018-08-24
161,1,80519,2021-03-05
253,2,96559,2023-02-02
29,3,51494,2018-11-08
213,2,30932,2019-09-19
116,4,79736,2019-08-10
118,4,82229,2021-08-26
71,4,13654,2022-06-30
71,4,103869,2022-06-07
288,3,24585,2020-02-16
117,4,32271,2020-01-03
179,3,102222,2021-07-27
34,2,29313,2018-11-17
102,3,93252,2020-01-23
136,2,103140,2018-10-11
112,1,76879,2021-02-28
292,4,16511,2019-09-17
10,1,87772,2022-08-26
164,2,66412,2022-01-04
253,2,27525,2018-07-04
93,2,72566,2019-05-16
294,1,51948,2021-04-06
188,2,40854,2018-10-19
34,2,45309,2019-06-03
160,1,7610,2021-05-26
205,2,100526,2022-09-03
211,3,59405,2020-05-24
200,2,59620,2021-08-01
143,1,22292,2018-07-19
14,3,53890,2019-09-01
170,4,101744,2020-10-23
256,3,94400,2021-02-09
100,1,87114,2022-08-21
136,2,51235,2018-10-10
73,4,26171,2020-09-21
186,4,60676,2019-06-05
245,3,30345,2023-03-30
230,3,74876,2020-07-07
215,4,43842,2018-08-23
263,3,93090,2018-12-26
121,3,82186,2021-05-24
265,2,1878,2020-05-15
172,2,64338,2023-05-08
309,1,30919,2020-02-22
310,3,55450,2022-10-29
253,2,37388,2022-02-22
265,2,48433,2020-03-04
176,1,50023,2021-10-17
57,4,48188,2020-03-31
18,4,41538,2021-06-26
211,3,56749,2021-06-03
280,3,71279,2018-09-17
297,3,56592,2021-11-01
254,1,32314,2019-04-27
134,3,68034,2022-06-29
196,3,10555,2020-12-31
211,3,86880,2020-02-04
310,3,31964,2020-01-21
208,2,13404,2021-02-20
162,4,74409,2019-04-20
134,3,86816,2018-08-18
36,1,56607,2020-07-12
95,3,86372,2021-01-14
57,4,63991,2022-02-10
269,3,45131,2021-04-20
283,1,78394,2020-12-24
225,1,102405,2021-04-17
250,2,78622,2018-07-14
273,1,66106,2020-10-11
95,3,18662,2021-08-17
111,1,24462,2022-04-27
290,1,66977,2022-12-02
203,1,68250,2021-07-07
69,2,82158,2018-11-23
6,2,10213,2021-03-07
115,1,16517,2021-05-19
283,1,83646,2021-08-01
268,2,48471,2018-10-16
252,1,30353,2023-03-02
83,4,14914,2022-11-24
277,2,34873,2020-01-04
104,2,79862,2019-01-18
115,1,86136,2021-10-26
3,2,70351,2019-09-13
71,4,29227,2021-11-30
301,4,93578,2018-08-13
164,2,67557,2021-09-15
281,2,35997,2019-05-21
173,2,87228,2022-03-28
170,4,1694,2023-04-29
206,1,20531,2021-01-14
90,3,11498,2020-12-18
142,4,70121,2020-03-12
280,3,17132,2021-10-23
42,4,80056,2020-06-06
129,3,76474,2022-08-25
117,4,74126,2022-03-02
230,3,14505,2019-10-10
9,2,25351,2021-01-07
263,3,79903,2020-11-29
181,1,79939,2021-05-30
57,4,48225,2022-10-30
183,4,104433,2018-12-20
88,3,22268,2020-10-26
70,1,9891,2018-11-18
241,4,58679,2023-02-06
42,4,89687,2020-04-24
117,4,35264,2019-02-02
124,1,90294,2019-11-05
179,3,95148,2021-03-02
246,1,46883,2018-11-22
11,2,74218,2021-11-05
251,4,37059,2022-10-22
114,4,28141,2018-12-31
25,1,22133,2020-02-13
18,4,80451,2021-08-14
137,2,69679,2023-04-16
84,4,66703,2022-06-12
26,3,49068,2019-03-06
295,2,33445,2023-01-31
307,1,4562,2020-03-05
205,2,100568,2022-02-07
149,1,100032,2023-04-23
235,1,48974,2022-03-05
269,3,62644,2019-05-22
264,1,2192,2020-06-02
21,3,2820,2020-11-03
151,3,81828,2022-10-07
111,1,85855,2020-09-26
302,2,44720,2023-02-14
325,2,48642,2020-05-03
292,4,38781,2022-10-25
284,4,45402,2023-03-08
110,2,62611,2021-02-26
103,2,80225,2021-03-17
222,1,19193,2020-10-30
75,4,18363,2018-05-21
286,4,47362,2020-05-14
99,1,74781,2021-04-13
202,3,3340,2019-10-29
84,4,24824,2018-09-22
61,4,3058,2018-07-31
45,1,89234,2022-11-21
40,1,86132,2021-01-06
92,3,62248,2018-11-18
261,4,86453,2021-05-29
140,3,49291,2021-06-20
210,3,105389,2019-01-16
80,1,81796,2020-12-22
128,3,31271,2020-09-07
260,4,23118,2019-01-31
191,3,42114,2021-04-29
181,1,73897,2020-02-08
259,2,60870,2019-04-16
172,2,90942,2020-10-01
84,4,36549,2018-10-26
142,4,17474,2021-03-31
309,1,54023,2022-03-25
257,2,4322,2019-07-25
117,4,58207,2023-04-02
316,2,8753,2020-06-21
258,4,32733,2022-09-05
288,3,30365,2019-12-30
326,1,2134,2018-06-04
233,3,12270,2019-11-18
19,4,74517,2018-12-13
113,2,65164,2021-11-01
76,4,8898,2022-05-03
295,2,19221,2019-11-09
265,2,35934,2022-01-31
236,1,28085,2020-09-11
38,4,70779,2019-01-18
32,4,14237,2018-09-25
285,2,101355,2021-04-12
224,3,10088,2022-10-14
122,4,82909,2018-11-16
257,2,80317,2023-04-10
127,2,46091,2020-06-03
169,2,68874,2020-09-12
130,4,19823,2021-08-30
247,4,98853,2022-01-12
175,1,49501,2020-06-20
23,3,71243,2020-04-14
157,1,18794,2022-07-28
49,2,61005,2023-04-16
92,3,99998,2023-01-31
61,4,63885,2020-04-07
20,2,65450,2022-09-04
236,1,73493,2019-03-15
248,3,52338,2023-04-21
248,3,52248,2022-03-23
153,1,92116,2021-09-18
5,1,72194,2019-08-19
313,1,8618,2019-07-05
202,3,60972,2019-02-19
256,3,14097,2020-07-23
206,1,65466,2018-08-11
292,4,26258,2023-01-05
65,2,101905,2023-03-26
10,1,97917,2021-01-19
184,3,56940,2021-04-11
199,1,41108,2019-03-09
251,4,13530,2021-06-16
171,3,20470,2023-05-15
30,3,59088,2019-01-02
81,4,6450,2022-05-14
8,3,61501,2020-08-12
245,3,97407,2022-07-15
170,4,87411,2018-12-22
296,4,34880,2020-08-09
122,4,58026,2021-01-03
116,4,56922,2018-11-09
92,3,60996,2023-05-07
306,2,74074,2022-01-19
21,3,97170,2022-06-19
92,3,105902,2021-12-31
186,4,30253,2022-03-23
305,2,42420,2021-07-04
184,3,60491,2019-09-09
130,4,42638,2020-03-30
104,2,67460,2018-09-16
217,1,63605,2018-05-26
18,4,75796,2019-08-10
113,2,76444,2021-08-01
169,2,49220,2022-11-09
55,4,70282,2021-04-30
19,4,87137,2021-03-13
214,2,9657,2020-05-11
8,3,38166,2022-12-10
58,2,61804,2020-10-21
159,1,41875,2021-06-26
201,2,98051,2021-06-10
4,4,94230,2021-03-08
161,1,48616,2021-04-09
68,3,89941,2021-12-07
241,4,64145,2021-05-23
142,4,60816,2018-06-05
118,4,92652,2019-04-02
101,3,25281,2022-12-05
288,3,80850,2023-01-12
31,2,97143,2018-11-24
23,3,55826,2018-06-27
20,2,84473,2022-08-09
318,3,14093,2020-06-15
98,3,39010,2021-10-14
115,1,84150,2019-03-22
55,4,30535,2019-07-22
312,2,102256,2021-02-07
181,1,100085,2021-01-15
225,1,29922,2019-03-03
142,4,104476,2018-06-20
185,1,55153,2022-05-10
8,3,72531,2021-06-12
59,1,73182,2019-01-24
118,4,91087,2019-07-04
208,2,21890,2021-09-18
29,3,39813,2022-07-02
297,3,9372,2018-06-27
12,3,32603,2020-06-03
289,1,33355,2020-12-18
241,4,31676,2020-03-01
127,2,51130,2020-02-01
323,1,77600,2023-03-11
183,4,72585,2018-08-09
186,4,61764,2022-03-13
188,2,22104,2021-11-09
175,1,104083,2019-02-07
234,1,52329,2018-09-18
227,4,25853,2023-05-18
248,3,50671,2020-02-19
258,4,105768,2023-01-22
252,1,102007,2019-10-02
231,1,86785,2022-09-13
8,3,56188,2018-05-27
106,1,102706,2019-02-11
93,2,63672,2019-03-22
226,3,77665,2023-04-28
210,3,75888,2019-04-09
18,4,28294,2023-01-11
297,3,28875,2018-05-29
241,4,79921,2018-10-21
107,1,63765,2020-08-11
104,2,64314,2019-09-26
239,1,36283,2020-07-10
4,4,60188,2021-08-22
30,3,46230,2022-11-20
241,4,92067,2022-03-12
30,3,66954,2023-03-13
140,3,17229,2021-12-14
91,2,13982,2022-11-03
124,1,22298,2020-04-07
47,3,40742,2022-05-06
298,2,102007,2021-06-20
236,1,48403,2019-02-06
154,2,70599,2021-02-09
24,4,47857,2019-07-11
8,3,41693,2019-02-14
247,4,43026,2023-01-02
25,1,36471,2019-02-23
191,3,97802,2018-11-23
117,4,74839,2019-02-28
70,1,21768,2021-03-17
267,4,102173,2020-05-24
184,3,88173,2022-07-22
104,2,56285,2022-12-19
186,4,58727,2020-12-06
18,4,89044,2021-05-09
325,2,64509,2020-08-06
119,3,1296,2019-11-25
50,1,59827,2021-08-13
117,4,101350,2019-03-01
130,4,29371,2021-05-25
294,1,2750,2019-03-07
43,1,94413,2022-11-27
44,2,38137,2023-03-10
187,2,94545,2021-02-10
91,2,89989,2020-04-26
79,4,19689,2018-11-04
220,1,42147,2022-08-17
229,2,81972,2022-07-01
291,1,82290,2018-11-15
7,3,10218,2020-04-14
97,4,90159,2019-08-30
224,3,56798,2019-04-22
308,2,93894,2020-05-20
241,4,35432,2019-08-31
86,1,98048,2020-04-18
25,1,20853,2022-01-09
241,4,59915,2021-02-19
149,1,97716,2023-03-02
45,1,21617,2018-12-22
152,1,87024,2022-01-05
136,2,91883,2019-02-03
120,4,37952,2023-04-12
23,3,24840,2022-10-16
88,3,96636,2021-04-01
272,2,40893,2022-05-17
112,1,990,2019-09-19
53,3,49234,2021-02-17
320,3,48396,2022-02-25
33,2,73399,2019-07-24
129,3,36905,2020-06-06
112,1,62006,2019-07-08
286,4,30734,2023-05-03
55,4,4767,2022-05-26
298,2,22542,2020-11-10
167,4,6173,2018-05-25
316,2,72660,2021-10-13
195,2,7678,2022-10-02
164,2,57869,2019-04-26
286,4,47711,2020-01-05
226,3,75724,2020-05-25
12,3,46942,2021-01-04
28,2,32499,2018-11-01
45,1,14554,2019-07-28
253,2,19711,2022-08-14
75,4,70399,2020-11-18
304,4,3308,2020-12-31
206,1,10196,2021-08-30
152,1,45915,2019-08-28
264,1,30367,2020-08-10
57,4,30727,2022-02-08
262,2,77670,2019-10-14
37,2,70808,2023-04-04
117,4,15349,2018-07-29
83,4,56036,2018-07-03
107,1,54404,2018-12-20
85,2,68393,2022-04-24
261,4,75217,2022-10-28
103,2,105977,2022-03-19
114,4,97592,2018-11-21
229,2,102877,2022-10-22
113,2,66996,2020-07-01
174,3,71580,2019-03-04
271,1,4587,2020-09-26
85,2,87175,2020-11-28
7,3,17748,2020-05-10
22,1,32776,2019-03-17
14,3,69190,2018-06-11
151,3,56789,2018-12-08
261,4,6923,2018-12-05
206,1,61179,2018-09-19
34,2,57428,2021-02-02
4,4,18140,2021-07-14
106,1,17907,2023-03-02
151,3,87578,2022-12-08
84,4,64512,2022-10-29
56,2,23161,2021-07-05
191,3,18640,2023-04-25
298,2,61485,2018-10-12
104,2,32911,2019-10-25
282,1,82196,2019-07-27
58,2,60384,2020-03-10
151,3,48480,2022-07-09
183,4,16565,2021-11-30
318,3,53872,2019-03-07
227,4,91321,2020-09-29
95,3,41150,2022-08-06
18,4,47582,2022-05-29
192,4,41522,2019-11-06
267,4,94327,2021-04-11
288,3,53676,2020-04-07
18,4,62942,2019-07-22
128,3,86772,2021-09-25
164,2,39183,2021-11-22
90,3,62129,2018-12-15
261,4,27645,2022-02-19
87,2,3808,2020-10-30
83,4,89283,2023-05-11
43,1,93044,2022-06-11
292,4,83655,2019-07-02
81,4,101977,2023-05-19
62,1,69952,2022-12-26
263,3,36270,2022-01-28
223,2,33038,2021-02-05
198,4,83589,2019-03-24
189,4,45922,2019-12-11
249,1,67618,2022-02-11
210,3,78459,2019-12-03
116,4,66094,2021-06-26
68,3,48351,2021-11-13
182,2,34100,2019-05-29
108,1,50072,2018-06-03
249,1,47977,2020-06-20
18,4,5677,2018-09-06
19,4,55727,2022-02-18
86,1,11282,2022-12-25
275,4,96458,2022-02-14
13,3,73291,2021-03-19
264,1,97163,2022-08-03
83,4,1131,2023-04-03
122,4,45309,2021-09-09
193,2,27903,2019-03-20
292,4,24975,2022-03-28
245,3,76717,2021-10-16
98,3,73648,2022-07-14
285,2,12183,2018-09-08
175,1,21149,2021-08-27
73,4,16225,2020-11-11
102,3,24688,2019-08-20
319,4,41700,2021-03-09
223,2,50827,2018-06-19
245,3,37590,2019-10-29
36,1,93527,2023-01-11
283,1,51555,2021-02-27
247,4,100576,2022-06-08
269,3,105590,2019-09-02
25,1,22951,2019-01-03
306,2,49220,2019-04-20
128,3,38052,2021-09-02
218,3,42121,2018-07-15
299,2,87289,2018-06-24
27,1,54109,2019-10-05
47,3,71564,2020-10-20
287,3,37665,2021-07-02
160,1,34169,2021-10-25
81,4,42803,2021-09-15
326,1,104176,2018-06-21
32,4,85406,2023-02-14
243,1,5729,2020-03-13
300,1,31581,2018-07-07
70,1,52808,2022-03-18
114,4,43726,2022-09-08
61,4,15394,2022-03-15
184,3,14762,2018-06-10
165,2,11435,2023-01-24
227,4,87540,2019-11-21
80,1,95866,2021-09-27
127,2,26577,2021-01-13
263,3,32627,2022-07-13
122,4,71921,2022-11-30
102,3,42884,2020-03-03
20,2,59962,2021-11-29
297,3,98416,2019-06-16
115,1,9652,2020-02-15
90,3,54043,2021-07-13
41,2,97047,2022-06-26
306,2,45138,2022-10-24
325,2,104613,2021-10-19
99,1,71089,2018-12-30
73,4,55637,2022-02-12
196,3,103221,2018-09-14
254,1,19107,2020-05-18
98,3,72816,2019-09-30
303,2,81464,2020-09-26
270,2,31598,2022-09-02
78,1,79532,2018-12-02
112,1,64286,2020-06-29
130,4,64166,2021-01-14
61,4,7595,2019-04-17
95,3,42426,2021-11-14
260,4,80441,2019-04-22
48,1,76063,2020-03-27
20,2,40974,2021-06-05
89,2,18987,2019-12-23
213,2,78109,2020-11-01
265,2,81206,2019-09-07
287,3,45343,2022-01-22
320,3,94967,2019-07-03
35,2,13030,2020-10-10
114,4,85052,2018-10-31
52,2,50023,2019-11-15
308,2,41713,2020-07-27
46,2,73196,2022-04-28
174,3,29017,2022-12-25
41,2,103572,2021-09-05
66,4,11586,2022-08-31
200,2,51944,2020-03-17
223,2,23842,2021-05-13
154,2,79828,2019-10-03
314,1,64653,2021-10-15
306,2,67197,2020-04-11
267,4,26256,2018-10-18
1,1,95603,2018-06-02
94,2,92213,2021-01-23
71,4,72930,2020-11-15
195,2,73560,2021-07-23
253,2,39444,2018-06-21
282,1,17545,2018-10-21
263,3,27329,2021-07-18
15,3,100028,2019-03-15
60,1,6622,2020-12-19
76,4,43304,2023-03-19
282,1,57165,2018-11-10
298,2,27875,2022-12-20
35,2,14421,2023-03-29
182,2,104946,2023-04-28
288,3,75815,2021-12-06
211,3,16881,2020-08-19
102,3,96639,2018-11-18
109,1,12929,2021-05-21
279,1,18645,2018-12-28
223,2,45767,2021-05-09
278,4,68205,2020-03-10
219,3,103932,2021-08-15
72,2,105406,2021-01-31
320,3,40945,2020-01-03
25,1,78529,2020-01-16
199,1,13076,2022-12-06
118,4,105660,2021-09-07
147,2,46299,2018-09-16
68,3,53789,2023-01-19
20,2,90174,2020-04-18
26,3,89586,2019-08-14
47,3,79583,2018-09-11
147,2,37476,2021-07-18
321,1,47948,2020-08-23
318,3,8774,2019-01-09
230,3,70193,2018-07-22
202,3,78041,2022-11-28
130,4,82738,2018-08-14
93,2,33006,2020-06-08
224,3,56520,2018-10-16
53,3,7698,2021-04-16
79,4,92248,2018-11-18
44,2,27555,2021-09-11
130,4,41690,2021-03-13
259,2,41700,2018-09-22
237,1,84092,2020-04-04
201,2,36120,2020-08-07
229,2,54411,2022-06-19
230,3,28597,2020-06-26
171,3,27405,2018-05-22
238,1,97506,2022-08-31
81,4,78575,2020-02-25
67,3,32129,2023-04-17
4,4,81345,2022-11-21
261,4,58409,2018-10-22
90,3,34132,2018-11-12
30,3,29525,2022-08-16
129,3,50900,2022-06-23
7,3,65983,2019-01-02
19,4,95556,2020-06-23
155,4,22705,2018-09-17
257,2,100973,2022-10-25
318,3,96944,2020-01-06
53,3,68424,2021-08-05
39,2,61447,2021-11-25
143,1,89097,2022-11-25
18,4,65364,2021-07-25
168,2,14033,2022-07-05
277,2,64000,2018-10-31
288,3,30743,2023-01-05
184,3,103755,2021-08-15
95,3,32755,2020-10-23
50,1,16192,2022-04-03
201,2,2879,2020-03-20
286,4,31157,2019-02-10
118,4,7348,2021-07-18
242,2,81599,2020-09-20
37,2,53594,2022-07-14
116,4,87317,2021-05-25
111,1,95272,2019-06-26
248,3,22152,2018-08-28
319,4,2009,2019-08-04
103,2,339,2019-03-01
180,1,90898,2019-10-25
129,3,28997,2021-12-11
262,2,53749,2018-07-19
295,2,17931,2018-11-02
303,2,21402,2018-10-01
145,2,52577,2019-12-21
138,3,12427,2022-02-23
265,2,15323,2020-02-15
151,3,7263,2021-11-27
23,3,98183,2021-05-11
269,3,72530,2019-12-16
8,3,90341,2023-03-17
145,2,42017,2018-10-10
185,1,75057,2021-03-06
132,2,44613,2020-12-04
304,4,34160,2019-02-06
27,1,58605,2021-06-26
320,3,56792,2020-01-25
304,4,9118,2018-07-07
84,4,8002,2019-09-13
30,3,75088,2018-07-23
180,1,60394,2018-07-13
124,1,11152,2020-04-18
68,3,21779,2020-05-02
196,3,69160,2020-03-09
206,1,69173,2020-09-06
251,4,88915,2019-02-17
7,3,16034,2019-12-30
95,3,30887,2022-01-02
14,3,11933,2019-09-14
238,1,91683,2023-03-15
216,1,444,2022-01-30
263,3,29295,2021-01-12
263,3,94149,2022-03-14
179,3,59863,2018-11-29
279,1,51970,2018-05-21
174,3,98126,2020-07-27
200,2,15741,2022-02-16
232,1,104683,2018-07-24
18,4,20956,2019-07-17
108,1,38922,2023-02-03
275,4,88100,2019-12-26
236,1,38272,2020-06-21
24,4,38097,2023-04-08
289,1,30478,2022-12-18
115,1,82858,2021-02-22
136,2,82157,2022-06-20
149,1,401,2019-12-23
174,3,93220,2022-03-02
8,3,56500,2020-11-03
23,3,6142,2022-11-30
145,2,66384,2018-10-16
257,2,74449,2023-01-01
148,3,5689,2018-12-02
204,2,100794,2020-12-25
155,4,26054,2022-01-08
36,1,62115,2023-01-31
55,4,75542,2021-01-30
242,2,104477,2019-12-30
251,4,28793,2018-08-01
172,2,67541,2018-07-09
28,2,5633,2021-07-11
263,3,87508,2020-12-21
277,2,82990,2019-02-06
286,4,77226,2021-11-25
119,3,40614,2022-01-31
129,3,77853,2022-08-05
181,1,16649,2020-08-31
64,1,95675,2021-03-27
286,4,20582,2021-07-03
175,1,78521,2021-08-30
23,3,37472,2019-10-14
67,3,44625,2020-11-20
222,1,19532,2022-11-15
164,2,54156,2018-05-23
295,2,56236,2022-02-24
104,2,7223,2018-07-07
32,4,14893,2021-09-04
171,3,27473,2023-04-01
188,2,78255,2019-05-03
261,4,62501,2018-11-05
322,1,11523,2022-10-31
260,4,15621,2019-10-01
192,4,4378,2020-01-06
23,3,82919,2023-05-03
103,2,80900,2020-08-27
73,4,105055,2020-12-27
5,1,90659,2020-09-15
104,2,44371,2019-07-24
103,2,60979,2023-05-14
210,3,61353,2019-02-21
68,3,68477,2019-09-03
13,3,72161,2022-03-13
318,3,66422,2020-09-11
244,1,90509,2020-01-20
76,4,71628,2020-10-16
77,1,70389,2018-07-04
98,3,3910,2018-08-17
318,3,83864,2022-11-15
183,4,103425,2023-02-26
310,3,82285,2020-12-29
179,3,10255,2022-12-16
319,4,19609,2018-12-29
239,1,78768,2019-09-18
207,1,8234,2022-01-18
238,1,58075,2022-05-20
187,2,57643,2020-04-29
152,1,28174,2021-09-12
179,3,79916,2023-03-14
13,3,36340,2021-09-01
57,4,20613,2022-07-21
287,3,66169,2021-10-28
198,4,65512,2018-10-17
128,3,105206,2022-07-29
77,1,94024,2018-08-22
159,1,27912,2019-03-14
274,2,33171,2021-03-23
88,3,21814,2019-09-06
19,4,69717,2021-10-17
125,2,86316,2021-02-24
204,2,86420,2018-09-29
221,2,88988,2018-08-26
50,1,11585,2021-11-07
268,2,90257,2019-04-20
262,2,49921,2022-06-30
149,1,87126,2022-07-04
287,3,56542,2021-08-31
274,2,98844,2022-02-08
297,3,24088,2021-12-08
243,1,46925,2020-03-19
10,1,36219,2021-01-30
82,1,32934,2022-10-15
273,1,18099,2019-08-15
124,1,45659,2022-01-29
228,1,44128,2021-05-29
73,4,64094,2019-09-14
230,3,78494,2019-03-28
19,4,43757,2021-01-01
205,2,58631,2022-05-22
97,4,90789,2020-08-13
294,1,10255,2021-01-26
266,1,69685,2023-02-20
133,2,64346,2021-12-04
230,3,8803,2022-08-11
186,4,37580,2021-10-06
13,3,12580,2020-06-28
243,1,32477,2021-08-15
184,3,50679,2021-05-07
284,4,41761,2022-10-22
272,2,41910,2021-03-02
34,2,98310,2020-03-25
78,1,26960,2019-05-21
248,3,100793,2021-08-07
272,2,15711,2019-09-17
197,2,14647,2022-03-02
229,2,85283,2023-01-13
26,3,12749,2018-11-12
116,4,71738,2019-07-01
280,3,68812,2022-02-13
172,2,103693,2020-04-17
160,1,99179,2023-02-28
246,1,95976,2019-07-12
171,3,45050,2020-12-18
203,1,62879,2020-02-21
268,2,62713,2018-08-22
127,2,40460,2023-03-18
52,2,8793,2021-04-11
61,4,32456,2018-12-16
23,3,19076,2020-07-08
78,1,85682,2018-12-15
309,1,32487,2023-03-02
171,3,38125,2020-04-03
189,4,71806,2022-01-06
92,3,71019,2020-11-13
53,3,101666,2019-07-16
23,3,55228,2018-10-21
261,4,79000,2018-08-02
172,2,60300,2018-12-01
260,4,28422,2022-07-10
297,3,61577,2019-03-25
218,3,17034,2020-09-25
183,4,1191,2020-06-09
304,4,76156,2021-08-08
118,4,76854,2020-09-13
53,3,30712,2022-01-31
191,3,88880,2023-02-17
24,4,6469,2021-09-21
219,3,93654,2022-12-11
97,4,57040,2022-10-09
8,3,75169,2023-02-27
231,1,101379,2020-08-10
130,4,50425,2021-09-08
215,4,70263,2021-03-08
138,3,71686,2018-05-23
167,4,99981,2022-12-30
116,4,66186,2019-12-24
74,2,232,2021-04-17
233,3,2672,2019-09-19
91,2,3063,2020-12-18
251,4,39605,2022-01-03
172,2,21,2021-10-14
29,3,83546,2020-12-11
101,3,9130,2021-05-16
184,3,76030,2021-04-03
142,4,9384,2021-04-23
275,4,3967,2020-02-06
183,4,36561,2020-08-10
308,2,70792,2020-08-24
147,2,33305,2019-07-11
303,2,40370,2021-12-11
200,2,45088,2019-03-15
152,1,3230,2018-10-10
280,3,29948,2019-11-20
104,2,9345,2018-08-01
113,2,92446,2018-06-04
301,4,71980,2021-07-27
84,4,75130,2023-05-15
287,3,81560,2021-11-29
309,1,42892,2019-03-06
10,1,7757,2019-11-14
245,3,41761,2018-12-08
14,3,26583,2020-08-08
214,2,84439,2022-07-21
85,2,33758,2019-10-04
210,3,62257,2022-01-03
264,1,89025,2020-07-06
246,1,94049,2023-05-13
51,1,58791,2021-12-19
214,2,31751,2023-02-13
109,1,94224,2021-11-16
46,2,21509,2022-05-12
326,1,74783,2018-09-09
104,2,18466,2019-11-03
225,1,43855,2022-08-23
306,2,2797,2022-08-15
188,2,49371,2020-06-09
209,1,87755,2020-02-27
148,3,39987,2020-12-02
241,4,52736,2019-07-07
66,4,59967,2022-10-19
119,3,34579,2021-09-06
167,4,5613,2021-02-27
50,1,93408,2023-01-28
323,1,4494,2021-01-03
262,2,30036,2023-02-05
303,2,12680,2018-10-27
234,1,70792,2020-10-10
302,2,89140,2020-11-01
262,2,82773,2022-11-14
135,1,72037,2021-06-27
209,1,65828,2022-08-06
7,3,86845,2021-12-03
184,3,24914,2021-01-14
176,1,69815,2020-06-02
238,1,23169,2020-02-20
184,3,25685,2022-05-14
211,3,8409,2023-04-09
126,1,49665,2021-11-09
119,3,62934,2020-06-30
191,3,13115,2020-07-22
271,1,32202,2022-05-10
288,3,55050,2020-07-23
101,3,50383,2019-12-04
5,1,88736,2020-08-05
72,2,94240,2020-01-04
282,1,24110,2021-08-06
